REF_AREA,REF_AREA_LABEL,TIME_PERIOD,OBS_VALUE
AFG,Afghanistan,2001-01-01,22.943765
AFG,Afghanistan,2001-02-01,24.357903
AFG,Afghanistan,2001-03-01,21.202933
AFG,Afghanistan,2001-04-01,17.301832
AFG,Afghanistan,2001-05-01,9.334624
AFG,Afghanistan,2001-06-01,11.984475
AFG,Afghanistan,2001-07-01,9.48265
AFG,Afghanistan,2001-08-01,2.519301
AFG,Afghanistan,2001-09-01,0.789062
AFG,Afghanistan,2001-10-01,12.457791
AFG,Afghanistan,2001-11-01,11.204372
AFG,Afghanistan,2001-12-01,9.789599
AFG,Afghanistan,2002-01-01,11.612646
AFG,Afghanistan,2002-02-01,14.499189
AFG,Afghanistan,2002-03-01,19.862808
AFG,Afghanistan,2002-04-01,15.511991
AFG,Afghanistan,2002-05-01,17.34706
AFG,Afghanistan,2002-06-01,22.025231
AFG,Afghanistan,2002-07-01,21.854497
AFG,Afghanistan,2002-08-01,20.796869
AFG,Afghanistan,2002-09-01,20.078144
AFG,Afghanistan,2002-10-01,17.165499
AFG,Afghanistan,2002-11-01,17.007124
AFG,Afghanistan,2002-12-01,21.293135
AFG,Afghanistan,2003-01-01,19.585062
AFG,Afghanistan,2003-02-01,20.413993
AFG,Afghanistan,2003-03-01,19.611149
AFG,Afghanistan,2003-04-01,18.962974
AFG,Afghanistan,2003-05-01,20.872083
AFG,Afghanistan,2003-06-01,19.977881
AFG,Afghanistan,2003-07-01,18.494055
AFG,Afghanistan,2003-08-01,12.015926
AFG,Afghanistan,2003-09-01,4.93122
AFG,Afghanistan,2003-10-01,4.554883
AFG,Afghanistan,2003-11-01,5.035287
AFG,Afghanistan,2003-12-01,4.77242
AFG,Afghanistan,2004-01-01,8.592641
AFG,Afghanistan,2004-02-01,8.621524
AFG,Afghanistan,2004-03-01,9.782085
AFG,Afghanistan,2004-04-01,12.71494
AFG,Afghanistan,2004-05-01,10.312887
AFG,Afghanistan,2004-06-01,13.139643
AFG,Afghanistan,2004-07-01,10.512509
AFG,Afghanistan,2004-08-01,14.575131
AFG,Afghanistan,2004-09-01,20.990753
AFG,Afghanistan,2004-10-01,21.43949
AFG,Afghanistan,2004-11-01,19.566328
AFG,Afghanistan,2004-12-01,18.618129
AFG,Afghanistan,2005-01-01,12.390806
AFG,Afghanistan,2005-02-01,12.910043
AFG,Afghanistan,2005-03-01,13.17081
AFG,Afghanistan,2005-04-01,12.768767
AFG,Afghanistan,2005-05-01,15.821999
AFG,Afghanistan,2005-06-01,11.261702
AFG,Afghanistan,2005-07-01,13.205706
AFG,Afghanistan,2005-08-01,13.860134
AFG,Afghanistan,2005-09-01,12.232848
AFG,Afghanistan,2005-10-01,10.496711
AFG,Afghanistan,2005-11-01,12.621946
AFG,Afghanistan,2005-12-01,10.533403
AFG,Afghanistan,2006-01-01,10.635895
AFG,Afghanistan,2006-02-01,9.202096
AFG,Afghanistan,2006-03-01,7.347097
AFG,Afghanistan,2006-04-01,6.958704
AFG,Afghanistan,2006-05-01,5.943392
AFG,Afghanistan,2006-06-01,5.059471
AFG,Afghanistan,2006-07-01,4.970799
AFG,Afghanistan,2006-08-01,5.533717
AFG,Afghanistan,2006-09-01,5.032492
AFG,Afghanistan,2006-10-01,4.946501
AFG,Afghanistan,2006-11-01,5.13326
AFG,Afghanistan,2006-12-01,4.90067
AFG,Afghanistan,2007-01-01,5.042705
AFG,Afghanistan,2007-02-01,5.195096
AFG,Afghanistan,2007-03-01,6.009555
AFG,Afghanistan,2007-04-01,7.539227
AFG,Afghanistan,2007-05-01,9.503817
AFG,Afghanistan,2007-06-01,11.737634
AFG,Afghanistan,2007-07-01,12.618223
AFG,Afghanistan,2007-08-01,12.737165
AFG,Afghanistan,2007-09-01,15.504637
AFG,Afghanistan,2007-10-01,15.746259
AFG,Afghanistan,2007-11-01,21.135318
AFG,Afghanistan,2007-12-01,24.421354
AFG,Afghanistan,2008-01-01,30.310976
AFG,Afghanistan,2008-02-01,27.506519
AFG,Afghanistan,2008-03-01,28.265021
AFG,Afghanistan,2008-04-01,48.141486
AFG,Afghanistan,2008-05-01,61.056952
AFG,Afghanistan,2008-06-01,48.254535
AFG,Afghanistan,2008-07-01,48.300067
AFG,Afghanistan,2008-08-01,50.992352
AFG,Afghanistan,2008-09-01,48.150504
AFG,Afghanistan,2008-10-01,43.290432
AFG,Afghanistan,2008-11-01,32.689509
AFG,Afghanistan,2008-12-01,26.679117
AFG,Afghanistan,2009-01-01,16.731185
AFG,Afghanistan,2009-02-01,11.230655
AFG,Afghanistan,2009-03-01,3.099287
AFG,Afghanistan,2009-04-01,-14.951265
AFG,Afghanistan,2009-05-01,-23.910326
AFG,Afghanistan,2009-06-01,-19.214225
AFG,Afghanistan,2009-07-01,-20.294408
AFG,Afghanistan,2009-08-01,-21.005404
AFG,Afghanistan,2009-09-01,-21.504898
AFG,Afghanistan,2009-10-01,-19.852365
AFG,Afghanistan,2009-11-01,-17.939489
AFG,Afghanistan,2009-12-01,-18.09958
AFG,Afghanistan,2010-01-01,-17.076821
AFG,Afghanistan,2010-02-01,-12.453857
AFG,Afghanistan,2010-03-01,-7.039293
AFG,Afghanistan,2010-04-01,-2.861015
AFG,Afghanistan,2010-05-01,-1.356283
AFG,Afghanistan,2010-06-01,1.073549
AFG,Afghanistan,2010-07-01,2.627739
AFG,Afghanistan,2010-08-01,4.113038
AFG,Afghanistan,2010-09-01,4.833176
AFG,Afghanistan,2010-10-01,6.136953
AFG,Afghanistan,2010-11-01,10.294222
AFG,Afghanistan,2010-12-01,12.843992
AFG,Afghanistan,2011-01-01,15.442461
AFG,Afghanistan,2011-02-01,15.402889
AFG,Afghanistan,2011-03-01,13.808369
AFG,Afghanistan,2011-04-01,13.729789
AFG,Afghanistan,2011-05-01,13.321555
AFG,Afghanistan,2011-06-01,11.05466
AFG,Afghanistan,2011-07-01,11.547364
AFG,Afghanistan,2011-08-01,9.344366
AFG,Afghanistan,2011-09-01,6.506183
AFG,Afghanistan,2011-10-01,8.36329
AFG,Afghanistan,2011-11-01,5.645689
AFG,Afghanistan,2011-12-01,5.94683
AFG,Afghanistan,2012-01-01,5.193009
AFG,Afghanistan,2012-02-01,5.101171
AFG,Afghanistan,2012-03-01,6.997124
AFG,Afghanistan,2012-04-01,7.420967
AFG,Afghanistan,2012-05-01,7.225344
AFG,Afghanistan,2012-06-01,5.443715
AFG,Afghanistan,2012-07-01,2.620311
AFG,Afghanistan,2012-08-01,2.391246
AFG,Afghanistan,2012-09-01,3.486407
AFG,Afghanistan,2012-10-01,2.141406
AFG,Afghanistan,2012-11-01,4.516943
AFG,Afghanistan,2012-12-01,4.539537
AFG,Afghanistan,2013-01-01,5.066044
AFG,Afghanistan,2013-02-01,6.339626
AFG,Afghanistan,2013-03-01,5.180924
AFG,Afghanistan,2013-04-01,6.50363
AFG,Afghanistan,2013-05-01,5.225325
AFG,Afghanistan,2013-06-01,6.931698
AFG,Afghanistan,2013-07-01,9.705699
AFG,Afghanistan,2013-08-01,9.98897
AFG,Afghanistan,2013-09-01,9.096802
AFG,Afghanistan,2013-10-01,8.809451
AFG,Afghanistan,2013-11-01,8.365253
AFG,Afghanistan,2013-12-01,9.622056
AFG,Afghanistan,2014-01-01,9.092442
AFG,Afghanistan,2014-02-01,8.522722
AFG,Afghanistan,2014-03-01,10.044094
AFG,Afghanistan,2014-04-01,9.548807
AFG,Afghanistan,2014-05-01,10.658337
AFG,Afghanistan,2014-06-01,9.698489
AFG,Afghanistan,2014-07-01,10.050818
AFG,Afghanistan,2014-08-01,7.109336
AFG,Afghanistan,2014-09-01,6.818086
AFG,Afghanistan,2014-10-01,5.936759
AFG,Afghanistan,2014-11-01,3.124351
AFG,Afghanistan,2014-12-01,2.947278
AFG,Afghanistan,2015-01-01,2.957042
AFG,Afghanistan,2015-02-01,1.380448
AFG,Afghanistan,2015-03-01,-0.58437
AFG,Afghanistan,2015-04-01,-2.580623
AFG,Afghanistan,2015-05-01,-2.955767
AFG,Afghanistan,2015-06-01,-2.194086
AFG,Afghanistan,2015-07-01,-4.487919
AFG,Afghanistan,2015-08-01,-2.769992
AFG,Afghanistan,2015-09-01,-0.426525
AFG,Afghanistan,2015-10-01,-0.110944
AFG,Afghanistan,2015-11-01,1.070726
AFG,Afghanistan,2015-12-01,0.780271
AFG,Afghanistan,2016-01-01,1.117175
AFG,Afghanistan,2016-02-01,3.347968
AFG,Afghanistan,2016-03-01,4.877748
AFG,Afghanistan,2016-04-01,5.629523
AFG,Afghanistan,2016-05-01,5.242233
AFG,Afghanistan,2016-06-01,6.115633
AFG,Afghanistan,2016-07-01,7.975064
AFG,Afghanistan,2016-08-01,7.896962
AFG,Afghanistan,2016-09-01,7.011259
AFG,Afghanistan,2016-10-01,6.557299
AFG,Afghanistan,2016-11-01,6.55828
AFG,Afghanistan,2016-12-01,5.890785
AFG,Afghanistan,2017-01-01,4.730651
AFG,Afghanistan,2017-02-01,4.553673
AFG,Afghanistan,2017-03-01,10.028383
AFG,Afghanistan,2017-04-01,9.36788
AFG,Afghanistan,2017-05-01,10.723921
AFG,Afghanistan,2017-06-01,10.87936
AFG,Afghanistan,2017-07-01,7.353894
AFG,Afghanistan,2017-08-01,5.862761
AFG,Afghanistan,2017-09-01,5.37764
AFG,Afghanistan,2017-10-01,5.435571
AFG,Afghanistan,2017-11-01,4.66338
AFG,Afghanistan,2017-12-01,4.513232
AFG,Afghanistan,2018-01-01,5.536005
AFG,Afghanistan,2018-02-01,4.356706
AFG,Afghanistan,2018-03-01,-1.623142
AFG,Afghanistan,2018-04-01,-2.562263
AFG,Afghanistan,2018-05-01,-3.630195
AFG,Afghanistan,2018-06-01,-4.995025
AFG,Afghanistan,2018-07-01,-3.473387
AFG,Afghanistan,2018-08-01,-2.546416
AFG,Afghanistan,2018-09-01,-1.927739
AFG,Afghanistan,2018-10-01,-0.85096
AFG,Afghanistan,2018-11-01,-0.534389
AFG,Afghanistan,2018-12-01,-0.300622
AFG,Afghanistan,2019-01-01,-0.413473
AFG,Afghanistan,2019-02-01,0.140873
AFG,Afghanistan,2019-03-01,2.621606
AFG,Afghanistan,2019-04-01,5.115616
AFG,Afghanistan,2019-05-01,7.040566
AFG,Afghanistan,2019-06-01,5.855055
AFG,Afghanistan,2019-07-01,4.705319
AFG,Afghanistan,2019-08-01,5.282653
AFG,Afghanistan,2019-09-01,4.133009
AFG,Afghanistan,2019-10-01,2.846178
AFG,Afghanistan,2019-11-01,3.295215
AFG,Afghanistan,2019-12-01,4.914624
AFG,Afghanistan,2020-01-01,5.985349
AFG,Afghanistan,2020-02-01,6.428874
AFG,Afghanistan,2020-03-01,5.072793
AFG,Afghanistan,2020-04-01,16.562751
AFG,Afghanistan,2020-05-01,12.924873
AFG,Afghanistan,2020-06-01,12.87974
AFG,Afghanistan,2020-07-01,12.706463
AFG,Afghanistan,2020-08-01,10.896275
AFG,Afghanistan,2020-09-01,9.405179
AFG,Afghanistan,2020-10-01,9.750869
AFG,Afghanistan,2020-11-01,9.872646
AFG,Afghanistan,2020-12-01,7.503425
AFG,Afghanistan,2021-01-01,6.097938
AFG,Afghanistan,2021-02-01,5.320133
AFG,Afghanistan,2021-03-01,4.964755
AFG,Afghanistan,2021-04-01,-4.7331
AFG,Afghanistan,2021-05-01,-1.59944
AFG,Afghanistan,2021-06-01,-0.367404
AFG,Afghanistan,2021-07-01,2.027468
AFG,Afghanistan,2021-08-01,2.94889
AFG,Afghanistan,2021-09-01,9.80386
AFG,Afghanistan,2021-10-01,12.892184
AFG,Afghanistan,2021-11-01,12.711813
AFG,Afghanistan,2021-12-01,17.739358
AFG,Afghanistan,2022-01-01,19.960327
AFG,Afghanistan,2022-02-01,21.864799
AFG,Afghanistan,2022-03-01,21.4542
AFG,Afghanistan,2022-04-01,23.785
AFG,Afghanistan,2022-05-01,23.232251
AFG,Afghanistan,2022-06-01,25.966048
AFG,Afghanistan,2022-07-01,24.883413
AFG,Afghanistan,2022-08-01,23.150555
AFG,Afghanistan,2022-09-01,17.587713
AFG,Afghanistan,2022-10-01,12.290635
AFG,Afghanistan,2022-11-01,10.822891
AFG,Afghanistan,2022-12-01,5.208526
AFG,Afghanistan,2023-01-01,3.17498
AFG,Afghanistan,2023-02-01,3.090923
AFG,Afghanistan,2023-03-01,2.385266
AFG,Afghanistan,2023-04-01,-3.296048
AFG,Afghanistan,2023-05-01,-5.849302
AFG,Afghanistan,2023-06-01,-11.157824
AFG,Afghanistan,2023-07-01,-12.644822
AFG,Afghanistan,2023-08-01,-11.175702
AFG,Afghanistan,2023-09-01,-13.323986
AFG,Afghanistan,2023-10-01,-12.083122
AFG,Afghanistan,2023-11-01,-13.962613
AFG,Afghanistan,2023-12-01,-14.543546
AFG,Afghanistan,2024-01-01,-15.071067
AFG,Afghanistan,2024-02-01,-14.373551
AFG,Afghanistan,2024-03-01,-13.753044
AFG,Afghanistan,2024-04-01,-12.13897
AFG,Afghanistan,2024-05-01,-11.462043
AFG,Afghanistan,2024-06-01,-9.770695
AFG,Afghanistan,2024-07-01,-10.466572
AFG,Afghanistan,2024-08-01,-11.450447
AFG,Afghanistan,2024-09-01,-8.160776
AFG,Afghanistan,2024-10-01,-9.153128
AFG,Afghanistan,2024-11-01,-7.034844
AFG,Afghanistan,2024-12-01,-4.509165
AFG,Afghanistan,2025-01-01,-3.111752
AFG,Afghanistan,2025-02-01,-2.22372
AFG,Afghanistan,2025-03-01,-0.958625
AFG,Afghanistan,2025-04-01,-0.690346
AFG,Afghanistan,2025-05-01,-1.726622
AFG,Afghanistan,2025-06-01,-2.11663
ALA,Aland Islands,2001-01-01,1.536479
ALA,Aland Islands,2001-02-01,2.850025
ALA,Aland Islands,2001-03-01,2.878273
ALA,Aland Islands,2001-04-01,2.339064
ALA,Aland Islands,2001-05-01,3.748866
ALA,Aland Islands,2001-06-01,2.297121
ALA,Aland Islands,2001-07-01,3.218646
ALA,Aland Islands,2001-08-01,7.157319
ALA,Aland Islands,2001-09-01,4.001996
ALA,Aland Islands,2001-10-01,5.591808
ALA,Aland Islands,2001-11-01,4.293505
ALA,Aland Islands,2001-12-01,5.378683
ALA,Aland Islands,2002-01-01,8.679098
ALA,Aland Islands,2002-02-01,6.491619
ALA,Aland Islands,2002-03-01,8.033806
ALA,Aland Islands,2002-04-01,7.003321
ALA,Aland Islands,2002-05-01,5.857212
ALA,Aland Islands,2002-06-01,6.589527
ALA,Aland Islands,2002-07-01,4.086022
ALA,Aland Islands,2002-08-01,1.076996
ALA,Aland Islands,2002-09-01,4.596488
ALA,Aland Islands,2002-10-01,2.776193
ALA,Aland Islands,2002-11-01,1.79692
ALA,Aland Islands,2002-12-01,1.885907
ALA,Aland Islands,2003-01-01,-1.428315
ALA,Aland Islands,2003-02-01,0.427623
ALA,Aland Islands,2003-03-01,-0.917184
ALA,Aland Islands,2003-04-01,-0.492926
ALA,Aland Islands,2003-05-01,-0.422096
